rank,ratio,compact,l2l3,cx,cy,cz,hi_n,lo_n,total_n
0,22.9087,1,1.59013,36.9567,17.5976,-1.25614,2284,20540,22824
1,20.1441,0.970297,1.59168,4.88039,1.36054,-0.756214,781,7015,7796
2,14.1314,1,2.80666,26.729,12.4563,0.0924462,982,8364,9346
3,13.6848,0.953125,5.22698,40.6165,18.9611,-2.05253,131,1160,1291
4,10.4775,0.969579,4.3329,50.0619,22.6314,-1.75192,2956,8318,11274
5,10.4514,0.987952,3.46585,8.31164,2.82918,-0.715663,1955,14703,16658
6,9.91222,1,11.9712,9.13668,4.82982,-1.02739,10119,36015,46134
7,7.96763,1,1.92468,61.8314,28.7194,-1.52221,2384,2224,4608
8,7.91092,1,1.23148,46.8626,19.9672,-0.973648,4715,42419,47134
9,7.88292,1,8.72035,49.543,23.4902,-0.978483,2515,22619,25134
10,7.24334,0.999199,1.62371,42.352,17.8064,-0.338031,3849,34623,38472
11,6.89682,1,2.25401,55.0682,27.8222,-0.504099,657,239,896
12,6.01611,1,2.93318,41.2303,17.475,-1.62552,4081,16098,20179
13,5.99881,0.971871,5.9373,44.1679,21.8113,-1.16336,6731,13538,20269
14,5.85757,0.971983,1.4527,47.5218,23.9904,-1.44092,582,5219,5801
15,5.53141,1,7.97518,44.4645,20.7018,-2.03815,392,3517,3909
16,5.39943,0.966353,3.10314,37.5736,15.6853,-0.444463,3784,34044,37828
17,5.2654,1,16.5051,50.1398,22.4486,-1.69326,18902,34935,53837
18,5.20322,1,2.62031,63.4647,28.9157,-1.80852,2365,3850,6215
19,5.09102,0.960357,6.59825,22.5734,8.83145,-0.109814,4675,42058,46733
20,5.04818,0.980214,2.02931,32.2012,13.1996,-0.304261,4035,36296,40331
21,4.16204,0.994253,1.91076,44.9986,18.9728,-2.00984,4889,22556,27445
22,3.77635,0.999613,4.67067,57.1658,25.7313,-1.61613,16254,22661,38915
23,3.51248,1,8.75117,63.3735,28.9339,-2.02814,1552,1232,2784
24,3.4922,0.985075,1.51319,17.9858,6.37168,-0.535444,2644,23778,26422
25,3.43661,0.975864,30.8068,44.8376,18.9852,-2.03262,1845,7204,9049
